id_contrato,nome_contrato,objeto_contrato,valor_contrato,inicio_vigencia,termino_vigencia
1,13/2012,Contratação de Empresa para Ministrar Curso de Inglês,94947.23,4,32
2,Disp. Lic. 1,Prestação de serviço na confecção de Chaves,5234.0,13,33
3,Disp. Lic. 2,Prestação de serviço na confecção de Carimbos,1800.0,10,33
4,32/2014,Serviço de Telefônia Móvel,73915.08,6,33
5,001/2014,Publicações no Diário Oficial da União,45000.0,8,35
6,002/2014,Prestação de serviço de Copeiragem,385986.11,9,36
7,003/2012,Manutenção Preventiva e Evolutiva Próton,47493.72,11,39
8,001/2015,"Bilhetes de passagens aéreas, reservas, emissão e renovação",380574.23,12,41
9,42064,Apoio administrativo 1 e 2,2043582.72,14,43
10,Disp. Lic. 3,Assinatura do Jornal O Globo,1248.0,15,45
11,41548,"Serviços de transporte terrestre de pessoas, por demanda em São Paulo- SP",214875.0,16,47
12,008/2014,Publicações Legais,25000.0,17,49
13,002/2015,Prestação de serviço de locação em tempo integral e eventual de veículos e condutores,523475.89,18,50
14,009/2013,Prestação pela ECT de Serviços e Vendas de Produtos – ECT,188895.16,19,52
15,004/2015,"Tradução e versão de textos, degravação e tradução/ interpretação simultânea",17601.56,20,54
16,Disp. Lic. 4,Assinatura do Jornal Folha de São Paulo,2073.0,1,57
17,19/2013, Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.,1314444.09,23,59
18,005/2015,Contratação de Estagiários,6847.68,24,61
19,006/2015,Manutenção Preventiva e corretiva dos elevadores do Bloco A-,10990.0,25,62
20,021/2014,Manutenção de Copiadoras,37680.0,25,62
21,Disp. Lic. 5,Assinatura do Jornal O Vale,336.0,2,64
22,40848,Serviços Gráficos,816053.75,26,65
23,42217,Aquisição e instalação de pisos e revestimentos,129563.5,27,67
24,23/2013,Serviço telefônico de longa distância nacional e internacional para aparelhos móveis funcionais,44837.3,28,68
25,27/2013,Exames Médicos Periódicos,26499.9,30,70
26,Disp. Lic. 6,Assinatura do Jornal Estado de São Paulo,358.8,31,71
27,Disp.Lic. 7,Assinatura do Jornal Correio Braziliense,1220.0,7,73
28,Disp. Lic. 8,Assinatura da Revista  Época,514.8,22,89
29,Disp. Lic. 9,Assinatura de Jornais e Revistas – Veja,713.8,21,91
30,29/2014,Aquisição de Licenças de Anti-Vírus,78550.0,3,102
31,Disp. Lic. 10,Assinatura da Revista Isto É,1281.0,5,106
32,009/2015,Aluguel de Container,24999.98,29,69
33,27/2013,Exames Médicos Periódicos,26499.9,30,70
34,Disp. Lic. 11,Assinatura do Jornal Estado de São Paulo,358.8,31,71
35,Disp. Lic. 12,Prestação de serviço na confecção de Carimbos,1972.0,35,72
36,Disp. Lic. 13,Prestação de serviço na confecção de Chaves,5324.0,34,72
37,Disp.Lic. 14,Assinatura do Jornal Correio Braziliense,1220.0,7,73
38,001/2014,Publicações no Diário Oficial da União,45000.0,36,75
39,002/2014,Prestação de serviço de Copeiragem,416408.28,37,76
40,003/2012,Manutenção Preventiva e Evolutiva Próton,52849.2,40,78
41,003/2016,Empresa para Ministrar Curso de Inglês,92000.0,42,79
42,001/2015,"Bilhetes de passagens aéreas, reservas, emissão e renovação",386765.62,42,79
43,Disp. Lic. 15,Assinatura do Jornal O Globo,358.0,46,81
44,42064,Apoio administrativo 1 e 2,2231331.32,44,80
